search_list,recall,total_comparisons
100,87.642000,4208965
120,89.871000,4867773
140,91.555000,5502907
160,92.805000,6120248
180,93.766000,6718779
200,94.590000,7305684
220,95.209000,7879345
240,95.748000,8438728
260,96.188000,8989042
280,96.584000,9528442
300,96.897000,10059106
320,97.181000,10579663
340,97.404000,11091277
360,97.625000,11593308
380,97.834000,12090517
400,97.987000,12576881
440,98.244000,13536174
480,98.450000,14472180
520,98.634000,15389632
560,98.768000,16280614
600,98.886000,17150601
640,98.992000,18008148
680,99.094000,18847590
720,99.170000,19670247
